Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
10000,1.419268,0.00029701102,-1.4541616,-4.735500279037903,1476.5,-4.735500389089187,0.108404584,0.07194382
20000,1.4201378,0.00029100518,-1.2729151,-5.561571758855799,1476.5714285714287,-5.561571877981935,0.05121871,0.070199355
30000,1.4228815,0.0002850102,-0.6542233,-3.2787144604205554,1476.4285714285713,-3.457000233232975,0.010379121,0.07041319
40000,1.423559,0.00027900503,-0.59738743,-1.7585001207965736,1476.5,-1.8228571361729078,0.018709403,0.066687584
50000,1.4228319,0.00027299923,-0.29783076,-0.5551429409533739,1476.5714285714287,-0.5551427453756332,0.051010795,0.072436914
60000,1.4199115,0.00026700422,-0.56306905,-1.229428684704804,1476.4285714285713,-1.1648333097497623,0.0454223,0.068881914
70000,1.4165081,0.00026099535,-0.16155152,1.5359999654714815,1357.142857142857,1.1418753042817116,0.033228703,0.07357749
80000,1.4126037,0.0002549949,0.13755415,0.5809999313399506,1476.5,0.5810002759099007,0.069135144,0.06720809
90000,1.4102441,0.0002490083,1.126108,0.9074285239413646,1476.5714285714287,0.9074289404920169,0.06689446,0.06626983
100000,1.411823,0.00024301327,0.48283893,1.1818571007211827,1476.4285714285713,1.1818574901138033,0.048907295,0.07298002
110000,1.4091936,0.00023700813,0.58960736,-0.1598334163815404,1476.5,-0.15983310031394163,0.023434155,0.07382499
120000,1.4069899,0.00023100799,0.066480376,2.113428554647336,1438.0,2.1134290769696236,0.032951836,0.071679994
130000,1.4069211,0.00022501426,0.16578156,1.9117142512363248,1406.4285714285713,1.9117146107767309,0.018963313,0.07253958
140000,1.4073569,0.00021901049,-0.026109565,2.35012497389107,1278.0,2.350125531665981,0.021115944,0.06898594
150000,1.4068673,0.00021299689,0.22744632,3.5265555762064955,1146.4444444444443,3.526556177271737,0.032550372,0.0673174
160000,1.4047232,0.00020699548,0.57125795,6.0208182942270385,782.6363636363636,6.020818986675956,0.037748374,0.06497625
170000,1.4042615,0.00020099763,0.61875474,6.042875120016106,694.8125,6.042875678278506,0.025866633,0.06694632
180000,1.4025235,0.00019499753,0.79887176,6.283687629867927,562.1875,6.28368815081194,0.035526823,0.06699298
190000,1.3995558,0.00018899782,0.87734056,6.507333474616254,475.23809523809524,6.507333994621322,0.03131958,0.06923305
200000,1.3969978,0.00018299017,1.1738743,6.229611241594991,564.5,6.229611601680517,0.04503665,0.067127995
210000,1.3945233,0.00017700152,1.7034441,7.357600179626024,254.2,7.357600438222289,0.043610334,0.06424249
220000,1.3937278,0.00017100292,1.5052909,7.176032424622756,322.3225806451613,7.176032822699316,0.028004548,0.06731565
230000,1.3932385,0.00016499097,1.5895584,7.1962259754448406,315.3225806451613,7.196226409846736,0.04747573,0.06814565
240000,1.392929,0.00015900258,1.7578976,7.444457330085736,243.62857142857143,7.444457779398986,0.031627137,0.069483556
250000,1.391973,0.00015301323,1.616248,6.594800150399096,443.68,6.594800654649735,0.028492263,0.06537674
260000,1.3913925,0.00014701411,1.9086633,7.3349751756235495,245.425,7.334975721500814,0.025804514,0.066440046
270000,1.3905952,0.00014100026,2.0659127,7.6044315539400875,192.31372549019608,7.604432127347179,0.053361595,0.068348646
280000,1.3904505,0.00013499259,2.5029476,7.694030492044421,149.8939393939394,7.694031090673172,0.033522256,0.06809248
290000,1.3888006,0.00012900532,2.969008,7.7869682817254215,104.08510638297872,7.78696888716931,0.019599142,0.0704954
300000,1.3854238,0.00012300773,3.1127727,7.8204287688214595,87.53571428571429,7.8201719227137865,0.01727432,0.071686774
310000,1.3835349,0.00011700771,2.9579544,7.771643046457178,91.65306122448979,7.772425038269674,0.025017869,0.06636324
320000,1.3813647,0.00011100293,2.8664281,7.73589442422515,100.92307692307692,7.735894999395196,0.010179772,0.0700954
330000,1.3779426,0.00010500334,2.9395757,7.7976699185497855,89.61467889908256,7.7976704401844135,0.008146733,0.06769739
340000,1.3748869,9.900644e-05,1.9791384,7.572533513780217,157.8,7.572533930465579,0.021502713,0.06627346
350000,1.3740237,9.299775e-05,2.827681,7.801219493254872,88.4298245614035,7.801219785357254,0.019112783,0.067220025
360000,1.3711202,8.700596e-05,3.054458,7.852548344878273,71.74074074074075,7.852548556857639,0.0103499675,0.07017709
370000,1.3684654,8.101235e-05,2.5919983,7.80637883764773,83.86407766990291,7.806379107233969,0.0049876384,0.067581266
380000,1.3669407,7.500364e-05,2.967493,7.815451327873275,81.62406015037594,7.815451406502634,0.008587663,0.07128391
390000,1.3662984,6.901071e-05,2.87009,7.836483801896379,79.63934426229508,7.836483848510219,0.008243571,0.072924174
400000,1.3652233,6.299741e-05,3.0303686,7.853387058773724,71.2992700729927,7.853387157303573,0.0078065894,0.06761812
410000,1.3635885,5.700178e-05,2.991344,7.863023453377649,66.66666666666667,7.863023522288301,0.003693257,0.06649738
420000,1.3617626,5.1001753e-05,3.0653248,7.824340471087554,75.15972222222223,7.824340647914344,0.0182547,0.06676625
430000,1.3606454,4.499302e-05,2.8782215,7.840674798384989,77.0,7.840675058345946,0.010213255,0.067757666
440000,1.360076,3.900192e-05,3.0234516,7.855734013881963,69.79856115107914,7.855734305952093,0.008403154,0.0690633
450000,1.3594229,3.300614e-05,3.0666404,7.864848470315337,65.6896551724138,7.864848698315949,0.002902022,0.070432454
460000,1.3589559,2.6999169e-05,2.977108,7.853815798330656,70.68794326241135,7.853686188799994,0.00839179,0.069252506
470000,1.358324,2.1005795e-05,2.9966137,7.855268313665874,69.78985507246377,7.855389022141051,0.0099454485,0.070430964
480000,1.3579406,1.4999715e-05,3.0818088,7.865386403629813,65.47586206896551,7.865386611428754,0.0031860457,0.07268899
490000,1.3577518,9.002716e-06,2.800558,7.804033526706432,82.80833333333334,7.804033840758105,0.010113277,0.065249346
500000,1.3577467,3.002559e-06,2.9641728,7.849000194650352,72.88059701492537,7.84900053668378,0.013857668,0.06735806
